id,output_game_code,recipe_type,source_mod
11,item:ciderportion-{fruit},barrel,Base Game
409,item:vinegarportion,barrel,ExpandedFoods 2.0.0-dev.7.zip_51125e8da261
704,item:ciderportion-{fruit},barrel,wildcraftfruit_1.4.5.zip_447723274d21
1384,block:ceramicbroodpot-{type}-raw,clayforming,FromGoldenCombs-1.21-v1.9.4.zip_3e48dc90df0a
1383,block:hivetop-{type}-raw,clayforming,FromGoldenCombs-1.21-v1.9.4.zip_3e48dc90df0a
1392,block:ammomold-bullet-raw,clayforming,maltiezfirearms_1.5.5.zip_a35b406d5f46
1393,block:ammomold-pellet-raw,clayforming,maltiezfirearms_1.5.5.zip_a35b406d5f46
1394,block:ammomold-slug-raw,clayforming,maltiezfirearms_1.5.5.zip_a35b406d5f46
1391,block:barrelmold-raw,clayforming,maltiezfirearms_1.5.5.zip_a35b406d5f46
1449,Item:hide-chromium-huge,cooking,Base Game
1448,Item:hide-chromium-large,cooking,Base Game
1453,Item:sulfate-full-chromite,cooking,Base Game
1464,item:glueportion-pitch-hot,cooking,expanded_matter-3.4.1.zip_b48d5ea23442
1583,block:bottle-clay-{color}-fired,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1584,block:bottle-glass-{color}-fired,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1585,block:bottle-glass-{color}-fired,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1646,block:bottlerack-{woodframe}-{woodinterior}-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1647,block:bottlerack-{woodframe}-{woodinterior}-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1568,block:bottlerack-{woodframe}-acacia-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1580,block:bottlerack-{woodframe}-aged-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1733,block:bottlerack-{woodframe}-ash-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1727,block:bottlerack-{woodframe}-azobe-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1569,block:bottlerack-{woodframe}-baldcypress-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1714,block:bottlerack-{woodframe}-banyan-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1695,block:bottlerack-{woodframe}-bearnut-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1705,block:bottlerack-{woodframe}-beech-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1570,block:bottlerack-{woodframe}-birch-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1719,block:bottlerack-{woodframe}-bluemahoe-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1698,block:bottlerack-{woodframe}-catalpa-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1707,block:bottlerack-{woodframe}-cedar-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1735,block:bottlerack-{woodframe}-charred-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1722,block:bottlerack-{woodframe}-chlorociboria-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1712,block:bottlerack-{woodframe}-dalbergia-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
