row_number,item_id_raw,name_raw,qty_unit_raw,copper_value_raw,fta_sub_category,action,skip_reason,item_id,display_name,qty_unit,qty_numeric,unit_is_liters,copper_sovereign_value,notes
1,"Ores, Ingots, Mechnical items, Semi-refined industrial products,  Quarried Stone encompasses all other stone types than marble",,,,,skip,non_data_row,,,,,,,
2,ITEM ID,INGOTS,Qty. Unit,Copper Sovereign Value,INGOTS,skip,non_data_row,,,,,,,
3,IN001,Bismuth,1.0,3.0,INGOTS,parse,,IN001,Bismuth,1,1,False,3.0,
4,IN002,Brass,1.0,5.0,INGOTS,parse,,IN002,Brass,1,1,False,5.0,
5,IN003,Copper,1.0,4.0,INGOTS,parse,,IN003,Copper,1,1,False,4.0,
6,IN004,Cupronickel,1.0,6.0,INGOTS,parse,,IN004,Cupronickel,1,1,False,6.0,
7,IN005,Electrum,1.0,12.0,INGOTS,parse,,IN005,Electrum,1,1,False,12.0,
8,IN006,Gold,1.0,15.0,INGOTS,parse,,IN006,Gold,1,1,False,15.0,
9,IN007,Iron,1.0,6.0,INGOTS,parse,,IN007,Iron,1,1,False,6.0,
10,IN008,Lead,1.0,5.0,INGOTS,parse,,IN008,Lead,1,1,False,5.0,
11,IN009,Meteoric Iron,1.0,25.0,INGOTS,parse,,IN009,Meteoric Iron,1,1,False,25.0,
12,IN010,Nickel,1.0,4.0,INGOTS,parse,,IN010,Nickel,1,1,False,4.0,
13,IN011,Silver,1.0,10.0,INGOTS,parse,,IN011,Silver,1,1,False,10.0,
14,IN012,Steel,1.0,-,INGOTS,skip,blank_dash_or_zero_price,IN012,Steel,1,1,False,,
15,IN013,Tin,1.0,4.0,INGOTS,parse,,IN013,Tin,1,1,False,4.0,
16,IN014,Zinc,1.0,7.0,INGOTS,parse,,IN014,Zinc,1,1,False,7.0,
17,IN015,Bismuth Bronze,1.0,7.0,INGOTS,parse,,IN015,Bismuth Bronze,1,1,False,7.0,
18,IN016,Tin Bronze,1.0,6.0,INGOTS,parse,,IN016,Tin Bronze,1,1,False,6.0,
19,IN017,Black Bronze,1.0,9.0,INGOTS,parse,,IN017,Black Bronze,1,1,False,9.0,
20,,,,,INGOTS,skip,non_data_row,,,,,,,
21,ITEM ID,MINERALS,Qty. Unit,Copper Sovereign Value,MINERALS,skip,non_data_row,,,,,,,
22,IN019,Potash,64.0,45.0,MINERALS,parse,,IN019,Potash,64,64,False,45.0,
23,IN020,Saltpeter,64.0,48.0,MINERALS,parse,,IN020,Saltpeter,64,64,False,48.0,
24,IN021,Sulfur,64.0,36.0,MINERALS,parse,,IN021,Sulfur,64,64,False,36.0,
25,IN022,Clay,64.0,16.0,MINERALS,parse,,IN022,Clay,64,64,False,16.0,
26,IN023,Blasting powder,64.0,36.0,MINERALS,parse,,IN023,Blasting powder,64,64,False,36.0,
27,IN024,Alum,64.0,32.0,MINERALS,parse,,IN024,Alum,64,64,False,32.0,
28,IN026,Salt,32.0,4.0,MINERALS,parse,,IN026,Salt,32,32,False,4.0,
29,IN027,Sylvite,64.0,32.0,MINERALS,parse,,IN027,Sylvite,64,64,False,32.0,
30,IN028,Fluorite,64.0,40.0,MINERALS,parse,,IN028,Fluorite,64,64,False,40.0,
31,IN029,Graphite,64.0,80.0,MINERALS,parse,,IN029,Graphite,64,64,False,80.0,
32,IN030,Kernite,64.0,40.0,MINERALS,parse,,IN030,Kernite,64,64,False,40.0,
33,IN031,Phosphorite,64.0,28.0,MINERALS,parse,,IN031,Phosphorite,64,64,False,28.0,
34,IN067,Fire Clay,64.0,32.0,MINERALS,parse,,IN067,Fire Clay,64,64,False,32.0,
35,,,,,MINERALS,skip,non_data_row,,,,,,,
36,ITEM ID,GEMS,Qty. Unit,Copper Sovereign Value,GEMS,skip,non_data_row,,,,,,,
37,IN032,Clear Quartz,64.0,64.0,GEMS,parse,,IN032,Clear Quartz,64,64,False,64.0,
38,IN033,Olivine,64.0,25.0,GEMS,parse,,IN033,Olivine,64,64,False,25.0,
39,IN034,Amethyst,1.0,28.0,GEMS,parse,,IN034,Amethyst,1,1,False,28.0,
40,IN035,Diamond,1.0,48.0,GEMS,parse,,IN035,Diamond,1,1,False,48.0,
41,IN036,Emerald,1.0,35.0,GEMS,parse,,IN036,Emerald,1,1,False,35.0,
42,IN037,Peridot,1.0,18.0,GEMS,parse,,IN037,Peridot,1,1,False,18.0,
43,IN018,Lapis Lazuli,16.0,80.0,GEMS,parse,,IN018,Lapis Lazuli,16,16,False,80.0,
44,IN025,Cinnabar,16.0,50.0,GEMS,parse,,IN025,Cinnabar,16,16,False,50.0,
45,IN069,Cloudy Quartz,64.0,16.0,GEMS,parse,,IN069,Cloudy Quartz,64,64,False,16.0,
46,,,,,GEMS,skip,non_data_row,,,,,,,
47,ITEM ID,STONE,Qty. Unit,Copper Sovereign Value,STONE,skip,non_data_row,,,,,,,
48,IN038,Marble,32.0,60.0,STONE,parse,,IN038,Marble,32,32,False,60.0,
49,IN039,Small Quarried Stone,16.0,4.0,STONE,parse,,IN039,Small Quarried Stone,16,16,False,4.0,
50,IN040,Medium Quarried Stone,8.0,6.0,STONE,parse,,IN040,Medium Quarried Stone,8,8,False,6.0,
51,IN041,Large Quarried Stone,4.0,8.0,STONE,parse,,IN041,Large Quarried Stone,4,4,False,8.0,
52,IN042,Huge Quarried Stone,2.0,12.0,STONE,parse,,IN042,Huge Quarried Stone,2,2,False,12.0,
53,IN043,Giant Quarried Stone,1.0,14.0,STONE,parse,,IN043,Giant Quarried Stone,1,1,False,14.0,
54,IN068,Ashlar Block,64.0,4.0,STONE,parse,,IN068,Ashlar Block,64,64,False,4.0,
55,,,,,STONE,skip,non_data_row,,,,,,,
56,ITEM ID,FORGE PRODUCTS,Qty. Unit,Copper Sovereign Value,FORGE PRODUCTS,skip,non_data_row,,,,,,,
57,IN044,Lime,16.0,3.0,FORGE PRODUCTS,parse,,IN044,Lime,16,16,False,3.0,
58,IN045,Coke,16.0,10.0,FORGE PRODUCTS,parse,,IN045,Coke,16,16,False,10.0,
59,IN046,Charcoal,16.0,8.0,FORGE PRODUCTS,parse,,IN046,Charcoal,16,16,False,8.0,
60,IN047,Mortar,16.0,6.0,FORGE PRODUCTS,parse,,IN047,Mortar,16,16,False,6.0,
61,IN048,Borax,16.0,4.0,FORGE PRODUCTS,parse,,IN048,Borax,16,16,False,4.0,
62,IN049,Anthracite,16.0,4.0,FORGE PRODUCTS,parse,,IN049,Anthracite,16,16,False,4.0,
63,IN050,Black Coal,16.0,16.0,FORGE PRODUCTS,parse,,IN050,Black Coal,16,16,False,16.0,
64,IN051,Lignite,16.0,4.0,FORGE PRODUCTS,parse,,IN051,Lignite,16,16,False,4.0,
65,,,,,FORGE PRODUCTS,skip,non_data_row,,,,,,,
66,ITEM ID,ORES,Qty. Unit,Copper Sovereign Value (poor),ORES,skip,non_data_row,,,,,,,
67,IN052,Copper Chunk,64.0,20.0,ORES,parse,,IN052,Copper Chunk,64,64,False,20.0,
68,IN053,Malachite Chunk,64.0,20.0,ORES,parse,,IN053,Malachite Chunk,64,64,False,20.0,
69,IN054,Cassiterite Chunk,64.0,25.0,ORES,parse,,IN054,Cassiterite Chunk,64,64,False,25.0,
70,IN055,Galena Chunk,64.0,20.0,ORES,parse,,IN055,Galena Chunk,64,64,False,20.0,
71,IN056,Gold Chunk,64.0,49.0,ORES,parse,,IN056,Gold Chunk,64,64,False,49.0,
72,IN057,Silver Chunk,64.0,44.0,ORES,parse,,IN057,Silver Chunk,64,64,False,44.0,
73,IN058,Sphalerite Chunk,64.0,25.0,ORES,parse,,IN058,Sphalerite Chunk,64,64,False,25.0,
74,IN059,Bismuthinite Chunk,64.0,31.0,ORES,parse,,IN059,Bismuthinite Chunk,64,64,False,31.0,
75,IN060,Hematite Chunk,64.0,25.0,ORES,parse,,IN060,Hematite Chunk,64,64,False,25.0,
76,IN061,Limonite Chunk,64.0,25.0,ORES,parse,,IN061,Limonite Chunk,64,64,False,25.0,
77,IN062,Magnetite Chunk,64.0,25.0,ORES,parse,,IN062,Magnetite Chunk,64,64,False,25.0,
78,IN063,Ilmenite Chunk,64.0,25.0,ORES,parse,,IN063,Ilmenite Chunk,64,64,False,25.0,
79,IN064,Pentlandite Chunk,64.0,21.0,ORES,parse,,IN064,Pentlandite Chunk,64,64,False,21.0,
80,IN065,Chromite Chunk,64.0,-,ORES,skip,blank_dash_or_zero_price,IN065,Chromite Chunk,64,64,False,,
81,IN066,Rhodochrosite Chunk,64.0,10.0,ORES,parse,,IN066,Rhodochrosite Chunk,64,64,False,10.0,
82,,,,,ORES,skip,non_data_row,,,,,,,
83,,,,,ORES,skip,non_data_row,,,,,,,
84,,,,,ORES,skip,non_data_row,,,,,,,
85,,,,,ORES,skip,non_data_row,,,,,,,
86,,,,,ORES,skip,non_data_row,,,,,,,
87,,,,,ORES,skip,non_data_row,,,,,,,
88,,,,,ORES,skip,non_data_row,,,,,,,
89,,,,,ORES,skip,non_data_row,,,,,,,
90,,,,,ORES,skip,non_data_row,,,,,,,
91,,,,,ORES,skip,non_data_row,,,,,,,
92,,,,,ORES,skip,non_data_row,,,,,,,
93,,,,,ORES,skip,non_data_row,,,,,,,
94,,,,,ORES,skip,non_data_row,,,,,,,
95,,,,,ORES,skip,non_data_row,,,,,,,
96,,,,,ORES,skip,non_data_row,,,,,,,
97,,,,,ORES,skip,non_data_row,,,,,,,
98,,,,,ORES,skip,non_data_row,,,,,,,
99,,,,,ORES,skip,non_data_row,,,,,,,
100,,,,,ORES,skip,non_data_row,,,,,,,
101,,,,,ORES,skip,non_data_row,,,,,,,
102,,,,,ORES,skip,non_data_row,,,,,,,
