row_number,item_id_raw,name_raw,qty_unit_raw,copper_value_raw,fta_sub_category,action,skip_reason,item_id,display_name,qty_unit,qty_numeric,unit_is_liters,copper_sovereign_value,notes
1,"Unproccesed grown items, animals, fauna, naturally grown or excreted items, and food. The Empire does not buy Flax, Bamboo, or Seeds. The Empire only buys Perfect Bread.",,,,,skip,non_data_row,,,,,,,
2,ITEM ID,CROPS,Qty. Unit,Copper Sovereign Value,CROPS,skip,non_data_row,,,,,,,
3,AG001,Cabbage,64.0,12.0,CROPS,parse,,AG001,Cabbage,64,64,False,12.0,
4,AG002,Carrot,64.0,8.0,CROPS,parse,,AG002,Carrot,64,64,False,8.0,
5,AG003,Cassava,64.0,15.0,CROPS,parse,,AG003,Cassava,64,64,False,15.0,
6,AG004,Dried Cassava,64.0,17.0,CROPS,parse,,AG004,Dried Cassava,64,64,False,17.0,
7,AG005,Tree Fruits,64.0,16.0,CROPS,parse,,AG005,Tree Fruits,64,64,False,16.0,
8,AG006,Onion,64.0,8.0,CROPS,parse,,AG006,Onion,64,64,False,8.0,
9,AG007,Parsnip,64.0,8.0,CROPS,parse,,AG007,Parsnip,64,64,False,8.0,
10,AG008,Peanut,64.0,11.0,CROPS,parse,,AG008,Peanut,64,64,False,11.0,
11,AG009,Pineapple,32.0,10.0,CROPS,parse,,AG009,Pineapple,32,32,False,10.0,
12,AG010,Melon,32.0,14.0,CROPS,parse,,AG010,Melon,32,32,False,14.0,
13,AG011,Pumpkin,32.0,13.0,CROPS,parse,,AG011,Pumpkin,32,32,False,13.0,
14,AG012,Soybean,64.0,13.0,CROPS,parse,,AG012,Soybean,64,64,False,13.0,
15,AG013,Turnip,64.0,8.0,CROPS,parse,,AG013,Turnip,64,64,False,8.0,
16,AG014,Sunflower,64.0,7.0,CROPS,parse,,AG014,Sunflower,64,64,False,7.0,
17,AG015,Spelt,64.0,5.0,CROPS,parse,,AG015,Spelt,64,64,False,5.0,
18,AG016,Amaranth,64.0,12.0,CROPS,parse,,AG016,Amaranth,64,64,False,12.0,
19,AG017,Mushrooms,64.0,30.0,CROPS,parse,,AG017,Mushrooms,64,64,False,30.0,
20,AG018,Pipeleaf,32.0,16.0,CROPS,parse,,AG018,Pipeleaf,32,32,False,16.0,
21,AG019,Cocoa Pods,32.0,20.0,CROPS,parse,,AG019,Cocoa Pods,32,32,False,20.0,
22,AG020,Rice,64.0,7.0,CROPS,parse,,AG020,Rice,64,64,False,7.0,
23,AG021,Bamboo Shoots,64.0,12.0,CROPS,parse,,AG021,Bamboo Shoots,64,64,False,12.0,
24,AR260,Cocoa Powder,64.0,8.0,CROPS,parse,,AR260,Cocoa Powder,64,64,False,8.0,
25,,,,,CROPS,skip,non_data_row,,,,,,,
26,ITEM ID,LIVING ANIMALS,Qty. Unit,Copper Sovereign Value,LIVING ANIMALS,skip,non_data_row,,,,,,,
27,AG022,Elks (Limit 6),1.0,17.0,LIVING ANIMALS,parse,,AG022,Elks (Limit 6),1,1,False,17.0,
28,AG023,Bees (skep),1.0,15.0,LIVING ANIMALS,parse,,AG023,Bees (skep),1,1,False,15.0,
29,AG024,Sheep (Limit 6),2.0,50.0,LIVING ANIMALS,parse,,AG024,Sheep (Limit 6),2,2,False,50.0,
30,AG025,Pigs (Limit 6),2.0,50.0,LIVING ANIMALS,parse,,AG025,Pigs (Limit 6),2,2,False,50.0,
31,AG026,Chickens (hen) (Limit 6),1.0,6.0,LIVING ANIMALS,parse,,AG026,Chickens (hen) (Limit 6),1,1,False,6.0,
32,AG027,Moose (Limit 3),1.0,20.0,LIVING ANIMALS,parse,,AG027,Moose (Limit 3),1,1,False,20.0,
33,AG028,Hare,1.0,15.0,LIVING ANIMALS,parse,,AG028,Hare,1,1,False,15.0,
34,AG029,Goat (Limit 6),2.0,12.0,LIVING ANIMALS,parse,,AG029,Goat (Limit 6),2,2,False,12.0,
35,AG030,Wolf (Limit 10),1.0,25.0,LIVING ANIMALS,parse,,AG030,Wolf (Limit 10),1,1,False,25.0,
36,AG031,Elephant (Limit 3),1.0,300.0,LIVING ANIMALS,parse,,AG031,Elephant (Limit 3),1,1,False,300.0,
37,AG032,Fish (Dead) (No Limit),32.0,38.0,LIVING ANIMALS,parse,,AG032,Fish (Dead) (No Limit),32,32,False,38.0,
38,AG033,Sun Bear (Limit 6),1.0,-,LIVING ANIMALS,skip,blank_dash_or_zero_price,AG033,Sun Bear (Limit 6),1,1,False,,
39,AG043,Panda Bear (Limit 6),1.0,-,LIVING ANIMALS,skip,blank_dash_or_zero_price,AG043,Panda Bear (Limit 6),1,1,False,,
40,AG044,Black Bear (Limit 6),1.0,-,LIVING ANIMALS,skip,blank_dash_or_zero_price,AG044,Black Bear (Limit 6),1,1,False,,
41,AG045,Brown Bear (Limit 6),1.0,-,LIVING ANIMALS,skip,blank_dash_or_zero_price,AG045,Brown Bear (Limit 6),1,1,False,,
42,AG046,Polar Bear,1.0,-,LIVING ANIMALS,skip,blank_dash_or_zero_price,AG046,Polar Bear,1,1,False,,
43,AG044,Tamed Elk,1.0,450.0,LIVING ANIMALS,parse,,AG044,Tamed Elk,1,1,False,450.0,
44,AG045,Tamed Moose,1.0,1200.0,LIVING ANIMALS,parse,,AG045,Tamed Moose,1,1,False,1200.0,
45,AG046,Tamed Elephant,1.0,2500.0,LIVING ANIMALS,parse,,AG046,Tamed Elephant,1,1,False,2500.0,
46,AG047,Rooster,1.0,12.0,LIVING ANIMALS,parse,,AG047,Rooster,1,1,False,12.0,
47,AG047,Goat (Large),2.0,15.0,LIVING ANIMALS,parse,,AG047,Goat (Large),2,2,False,15.0,
48,,,,,LIVING ANIMALS,skip,non_data_row,,,,,,,
49,ITEM ID,ANIMAL PRODUCTS,Qty. Unit,Copper Sovereign Value,ANIMAL PRODUCTS,skip,non_data_row,,,,,,,
50,AG034,Prepared Small Hide,64.0,3.0,ANIMAL PRODUCTS,parse,,AG034,Prepared Small Hide,64,64,False,3.0,
51,AG035,Prepared Medium Hide,32.0,2.0,ANIMAL PRODUCTS,parse,,AG035,Prepared Medium Hide,32,32,False,2.0,
52,AG036,Prepared Large Hide,16.0,3.0,ANIMAL PRODUCTS,parse,,AG036,Prepared Large Hide,16,16,False,3.0,
53,AG037,Prepared Huge Hide,8.0,6.0,ANIMAL PRODUCTS,parse,,AG037,Prepared Huge Hide,8,8,False,6.0,
54,AG038,Fat,64.0,8.0,ANIMAL PRODUCTS,parse,,AG038,Fat,64,64,False,8.0,
55,,,,,ANIMAL PRODUCTS,skip,non_data_row,,,,,,,
56,ITEM ID,WOOD PRODUCTS,Qty. Unit,Copper Sovereign Value,WOOD PRODUCTS,skip,non_data_row,,,,,,,
57,AG039,Logs,16.0,1.0,WOOD PRODUCTS,parse,,AG039,Logs,16,16,False,1.0,
58,AG040,Planks,32.0,3.0,WOOD PRODUCTS,parse,,AG040,Planks,32,32,False,3.0,
59,AG041,Firewood,32.0,4.0,WOOD PRODUCTS,parse,,AG041,Firewood,32,32,False,4.0,
60,AG042,Resin,32.0,10.0,WOOD PRODUCTS,parse,,AG042,Resin,32,32,False,10.0,
61,,,,,WOOD PRODUCTS,skip,non_data_row,,,,,,,
62,,,,,WOOD PRODUCTS,skip,non_data_row,,,,,,,
63,,,,,WOOD PRODUCTS,skip,non_data_row,,,,,,,
64,,,,,WOOD PRODUCTS,skip,non_data_row,,,,,,,
65,,,,,WOOD PRODUCTS,skip,non_data_row,,,,,,,
66,,,,,WOOD PRODUCTS,skip,non_data_row,,,,,,,
67,,,,,WOOD PRODUCTS,skip,non_data_row,,,,,,,
68,,,,,WOOD PRODUCTS,skip,non_data_row,,,,,,,
