row_number,item_id_raw,name_raw,qty_unit_raw,copper_value_raw,fta_sub_category,action,skip_reason,item_id,display_name,qty_unit,qty_numeric,unit_is_liters,copper_sovereign_value,notes
1,"Food items, under the purview of agriculture, but seperated for easer of reading. The Empire only buys Perfect Bread.",,,,,skip,non_data_row,,,,,,,
2,ITEM ID,BAKED FOOD,Qty. Unit,Copper Sovereign Value,BAKED FOOD,skip,non_data_row,,,,,,,
3,AR052,Bread (All Base Variants),32.0,6.0,BAKED FOOD,parse,,AR052,Bread (All Base Variants),32,32,False,6.0,
4,AR053,Hardtack,32.0,3.0,BAKED FOOD,parse,,AR053,Hardtack,32,32,False,3.0,
5,AR054,Irontack,32.0,4.0,BAKED FOOD,parse,,AR054,Irontack,32,32,False,4.0,
6,AR055,Nut Bar,32.0,12.0,BAKED FOOD,parse,,AR055,Nut Bar,32,32,False,12.0,
7,AR056,Porridge (Sealed),32.0,3.0,BAKED FOOD,parse,,AR056,Porridge (Sealed),32,32,False,3.0,
8,AR057,Pumpkin Bread,32.0,17.0,BAKED FOOD,parse,,AR057,Pumpkin Bread,32,32,False,17.0,
9,AR058,Sunflower Bread,32.0,7.0,BAKED FOOD,parse,,AR058,Sunflower Bread,32,32,False,7.0,
10,AR059,Syrup Candied Fruit Bread,32.0,32.0,BAKED FOOD,parse,,AR059,Syrup Candied Fruit Bread,32,32,False,32.0,
11,AR060,Syrup Fruit Bread,32.0,13.0,BAKED FOOD,parse,,AR060,Syrup Fruit Bread,32,32,False,13.0,
12,AR061,Mixed Pie (Open) (2000 Sat),32.0,29.0,BAKED FOOD,parse,,AR061,Mixed Pie (Open) (2000 Sat),32,32,False,29.0,
13,AR062,Mixed Pie (Open) (3000 Sat),32.0,57.0,BAKED FOOD,parse,,AR062,Mixed Pie (Open) (3000 Sat),32,32,False,57.0,
14,AR063,Mixed Pie (Open) (5000+ Sat),32.0,88.0,BAKED FOOD,parse,,AR063,Mixed Pie (Open) (5000+ Sat),32,32,False,88.0,
15,AR064,Mixed Pie (Closed) (2000 Sat),32.0,32.0,BAKED FOOD,parse,,AR064,Mixed Pie (Closed) (2000 Sat),32,32,False,32.0,
16,AR065,Mixed Pie (Closed) (3000 Sat),32.0,61.0,BAKED FOOD,parse,,AR065,Mixed Pie (Closed) (3000 Sat),32,32,False,61.0,
17,AR066,Mixed Pie (Closed) (5000+ Sat),32.0,97.0,BAKED FOOD,parse,,AR066,Mixed Pie (Closed) (5000+ Sat),32,32,False,97.0,
18,AR067,Dairy Pie (Open) (2000 Sat),32.0,115.0,BAKED FOOD,parse,,AR067,Dairy Pie (Open) (2000 Sat),32,32,False,115.0,
19,AR068,Dairy Pie (Open) (3000 Sat),32.0,156.0,BAKED FOOD,parse,,AR068,Dairy Pie (Open) (3000 Sat),32,32,False,156.0,
20,AR069,Dairy Pie (Open) (5000+ Sat),32.0,197.0,BAKED FOOD,parse,,AR069,Dairy Pie (Open) (5000+ Sat),32,32,False,197.0,
21,AR070,Dairy Pie (Closed) (2000 Sat),32.0,125.0,BAKED FOOD,parse,,AR070,Dairy Pie (Closed) (2000 Sat),32,32,False,125.0,
22,AR071,Dairy Pie (Closed) (3000 Sat),32.0,175.0,BAKED FOOD,parse,,AR071,Dairy Pie (Closed) (3000 Sat),32,32,False,175.0,
23,AR072,Dairy Pie (Closed) (5000+ Sat),32.0,215.0,BAKED FOOD,parse,,AR072,Dairy Pie (Closed) (5000+ Sat),32,32,False,215.0,
24,AR073,Fruit Pie (Open) (2000 Sat),32.0,62.0,BAKED FOOD,parse,,AR073,Fruit Pie (Open) (2000 Sat),32,32,False,62.0,
25,AR074,Fruit Pie (Open) (3000 Sat),32.0,94.0,BAKED FOOD,parse,,AR074,Fruit Pie (Open) (3000 Sat),32,32,False,94.0,
26,AR075,Fruit Pie (Open) (5000+ Sat),32.0,118.0,BAKED FOOD,parse,,AR075,Fruit Pie (Open) (5000+ Sat),32,32,False,118.0,
27,AR076,Fruit Pie (Closed) (2000 Sat),32.0,67.0,BAKED FOOD,parse,,AR076,Fruit Pie (Closed) (2000 Sat),32,32,False,67.0,
28,AR077,Fruit Pie (Closed) (3000 Sat),32.0,102.0,BAKED FOOD,parse,,AR077,Fruit Pie (Closed) (3000 Sat),32,32,False,102.0,
29,AR078,Fruit Pie (Closed) (5000+ Sat),32.0,126.0,BAKED FOOD,parse,,AR078,Fruit Pie (Closed) (5000+ Sat),32,32,False,126.0,
30,AR079,Vegetable (Open) (2000 Sat),32.0,54.0,BAKED FOOD,parse,,AR079,Vegetable (Open) (2000 Sat),32,32,False,54.0,
31,AR080,Vegetable (Open) (3000 Sat),32.0,99.0,BAKED FOOD,parse,,AR080,Vegetable (Open) (3000 Sat),32,32,False,99.0,
32,AR081,Vegetable (Open) (5000+ Sat),32.0,119.0,BAKED FOOD,parse,,AR081,Vegetable (Open) (5000+ Sat),32,32,False,119.0,
33,AR082,Vegetable Pie (Closed) (2000 Sat),32.0,60.0,BAKED FOOD,parse,,AR082,Vegetable Pie (Closed) (2000 Sat),32,32,False,60.0,
34,AR083,Vegetable Pie (Closed) (3000 Sat),32.0,104.0,BAKED FOOD,parse,,AR083,Vegetable Pie (Closed) (3000 Sat),32,32,False,104.0,
35,AR084,Vegetable Pie (Closed) (5000+ Sat),32.0,128.0,BAKED FOOD,parse,,AR084,Vegetable Pie (Closed) (5000+ Sat),32,32,False,128.0,
36,AR085,Protein Pie (Open) (2000 Sat),32.0,42.0,BAKED FOOD,parse,,AR085,Protein Pie (Open) (2000 Sat),32,32,False,42.0,
37,AR086,Protein Pie (Closed) (3000 Sat),32.0,42.0,BAKED FOOD,parse,,AR086,Protein Pie (Closed) (3000 Sat),32,32,False,42.0,
38,AR087,Protein Pie (Open) (5000+ Sat),32.0,65.0,BAKED FOOD,parse,,AR087,Protein Pie (Open) (5000+ Sat),32,32,False,65.0,
39,AR088,Protein Pie (Closed) (2000 Sat),32.0,80.0,BAKED FOOD,parse,,AR088,Protein Pie (Closed) (2000 Sat),32,32,False,80.0,
40,AR089,Protein Pie (Closed) (3000 Sat),32.0,47.0,BAKED FOOD,parse,,AR089,Protein Pie (Closed) (3000 Sat),32,32,False,47.0,
41,AR090,Protein Pie (Closed) (5000+ Sat),32.0,72.0,BAKED FOOD,parse,,AR090,Protein Pie (Closed) (5000+ Sat),32,32,False,72.0,
42,,,,,BAKED FOOD,skip,non_data_row,,,,,,,
43,ITEM ID,COOKED FOOD,Qty. Unit,Copper Sovereign Value,COOKED FOOD,skip,non_data_row,,,,,,,
44,AR091,Au Grautin (Sealed),1.0,4.0,COOKED FOOD,parse,,AR091,Au Grautin (Sealed),1,1,False,4.0,
45,AR092,Blue Cheese,4.0,32.0,COOKED FOOD,parse,,AR092,Blue Cheese,4,4,False,32.0,
46,AR093,Cheese (Waxxed),4.0,21.0,COOKED FOOD,parse,,AR093,Cheese (Waxxed),4,4,False,21.0,
47,AR094,Clarified Bone Broth (Sealed),1.0,3.0,COOKED FOOD,parse,,AR094,Clarified Bone Broth (Sealed),1,1,False,3.0,
48,AR095,Clarified Meat Broth (Sealed),1.0,4.0,COOKED FOOD,parse,,AR095,Clarified Meat Broth (Sealed),1,1,False,4.0,
49,AR096,Clarified Seafood Broth (Sealed),1.0,5.0,COOKED FOOD,parse,,AR096,Clarified Seafood Broth (Sealed),1,1,False,5.0,
50,AR097,Clarified Vegetable Broth (Sealed),1.0,3.0,COOKED FOOD,parse,,AR097,Clarified Vegetable Broth (Sealed),1,1,False,3.0,
51,AR098,Dumpling Soup (Sealed),1.0,8.0,COOKED FOOD,parse,,AR098,Dumpling Soup (Sealed),1,1,False,8.0,
