item_id,display_name,lr_category,lr_sub_category,count,base_value,price_current,price_industrial_town,price_industrial_city,price_market_town,price_market_city,price_religious_town,price_temple_city,has_quality_tiers,price_uncommon_current,price_uncommon_industrial_town,price_uncommon_industrial_city,price_uncommon_market_town,price_uncommon_market_city,price_uncommon_religious_town,price_uncommon_temple_city,price_rare_current,price_rare_industrial_town,price_rare_industrial_city,price_rare_market_town,price_rare_market_city,price_rare_religious_town,price_rare_temple_city,price_epic_current,price_epic_industrial_town,price_epic_industrial_city,price_epic_market_town,price_epic_market_city,price_epic_religious_town,price_epic_temple_city,price_legendary_current,price_legendary_industrial_town,price_legendary_industrial_city,price_legendary_market_town,price_legendary_market_city,price_legendary_religious_town,price_legendary_temple_city
AR052,Bread (All Base Variants),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,5.0,6.0,7,4.55,3.5,8.05,8.4,7.7,True,6.0,7,4.55,3.5,8.05,8.4,7.7,6,6.0,7,4.55,3.5,8.05,8.4,7,7,7.0,8,5.2,4,9.2,0.1428571429,7,7,8.0,9,5.85,4.5
AR053,Hardtack,artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,2.0,3.0,3,1.95,1.5,3.45,3.6,3.3,True,3.0,3,1.95,1.5,3.45,3.6,3.3,3,3.0,3,1.95,1.5,3.45,3.6,3,3,3.0,3,1.95,1.5,3.45,0,3,3,3.0,3,1.95,1.5
AR054,Irontack,artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,3.0,4.0,4,2.6,2,4.6,4.8,4.4,True,4.0,4,2.6,2,4.6,4.8,4.4,4,4.0,4,2.6,2,4.6,4.8,4,4,4.0,4,2.6,2,4.6,0,5,5,5.0,6,3.9,3
AR055,Nut Bar,artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,4.0,5.0,6,3.9,3,6.9,7.2,6.6,True,5.0,6,3.9,3,6.9,7.2,6.6,5,5.0,6,3.9,3,6.9,7.2,5,5,5.0,6,3.9,3,6.9,0.2,6,6,7.0,8,5.2,4
AR056,Porridge (Sealed),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,2.0,3.0,3,1.95,1.5,3.45,3.6,3.3,True,3.0,3,1.95,1.5,3.45,3.6,3.3,3,3.0,3,1.95,1.5,3.45,3.6,3,3,3.0,3,1.95,1.5,3.45,0,3,3,3.0,3,1.95,1.5
AR057,Pumpkin Bread,artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,15.0,17.0,20,13,10,23,24,22,True,17.0,20,13,10,23,24,22,18,18.0,21,13.65,10.5,24.15,25.2,19,19,20.0,24,15.6,12,27.6,0.2,21,21,23.0,27,17.55,13.5
AR058,Sunflower Bread,artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,6.0,7.0,8,5.2,4,9.2,9.6,8.8,True,7.0,8,5.2,4,9.2,9.6,8.8,7,7.0,8,5.2,4,9.2,9.6,8,8,9.0,10,6.5,5,11.5,0.1111111111,9,9,9.0,10,6.5,5
AR059,Syrup Candied Fruit Bread,artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,28.0,31.0,37,24.05,18.5,42.55,44.4,40.7,True,31.0,37,24.05,18.5,42.55,44.4,40.7,33,35.0,42,27.3,21,48.3,50.4,35,35,37.0,44,28.6,22,50.6,0.1891891892,38,38,42.0,50,32.5,25
AR060,Syrup Fruit Bread,artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,12.0,14.0,16,10.4,8,18.4,19.2,17.6,True,14.0,16,10.4,8,18.4,19.2,17.6,14,15.0,18,11.7,9,20.7,21.6,15,15,16.0,19,12.35,9.5,21.85,0.1875,17,17,19.0,22,14.3,11
AR061,Mixed Pie (Open) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,26.0,30.0,36,23.4,18,41.4,43.2,39.6,True,30.0,36,23.4,18,41.4,43.2,39.6,30,32.0,38,24.7,19,43.7,45.6,33,33,35.0,42,27.3,21,48.3,0.2,36,36,37.0,44,28.6,22
