item_id,display_name,lr_category,lr_sub_category,count,base_value,price_current,price_industrial_town,price_industrial_city,price_market_town,price_market_city,price_religious_town,price_temple_city,has_quality_tiers,price_uncommon_current,price_uncommon_industrial_town,price_uncommon_industrial_city,price_uncommon_market_town,price_uncommon_market_city,price_uncommon_religious_town,price_uncommon_temple_city,price_rare_current,price_rare_industrial_town,price_rare_industrial_city,price_rare_market_town,price_rare_market_city,price_rare_religious_town,price_rare_temple_city,price_epic_current,price_epic_industrial_town,price_epic_industrial_city,price_epic_market_town,price_epic_market_city,price_epic_religious_town,price_epic_temple_city,price_legendary_current,price_legendary_industrial_town,price_legendary_industrial_city,price_legendary_market_town,price_legendary_market_city,price_legendary_religious_town,price_legendary_temple_city
IN001,Bismuth ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,6.0,4.0,4.8,5.2,2.6,2,4.4,4.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN002,Brass ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,7.0,5.0,6,6.5,3.25,2.5,5.5,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN003,Copper ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,3.0,4.0,4.8,5.2,2.6,2,4.4,4.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN004,Cupronickel ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,8.0,5.0,6,6.5,3.25,2.5,5.5,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN005,Electrum ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,15.0,10.0,12,13,6.5,5,11,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN006,Gold ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,10.0,7.0,8.4,9.1,4.55,3.5,7.7,8.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN007,Iron ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,4.0,5.0,6,6.5,3.25,2.5,5.5,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN008,Lead ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,3.0,3.0,3.6,3.9,1.95,1.5,3.3,3.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN009,Meteoric Iron ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,17.0,10.0,12,13,6.5,5,11,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN010,Nickel ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,7.0,4.0,4.8,5.2,2.6,2,4.4,4.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN011,Silver ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,9.0,5.0,6,6.5,3.25,2.5,5.5,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN012,Steel ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,8.0,2.0,2.4,2.6,1.3,1,2.2,2.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN013,Tin ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,4.0,3.0,3.6,3.9,1.95,1.5,3.3,3.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN014,Zinc ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,4.0,3.0,3.6,3.9,1.95,1.5,3.3,3.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN015,Bismuth Bronze ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,6.0,4.0,4.8,5.2,2.6,2,4.4,4.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN016,Tin Bronze ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,5.0,4.0,4.8,5.2,2.6,2,4.4,4.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN017,Black Bronze ingot,industrial_goods,Metal Ingots (Limit 25 Each),1,8.0,5.0,6,6.5,3.25,2.5,5.5,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN018,Lapis Lazuli,industrial_goods,Minerals (Limit 50 Each),16,8.0,20.0,24,26,13,10,22,24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN019,Potash,industrial_goods,Minerals (Limit 50 Each),16,6.0,12.0,14.4,15.6,7.8,6,13.2,14.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN020,Saltpeter,industrial_goods,Minerals (Limit 50 Each),16,12.0,13.0,15.6,16.9,8.45,6.5,14.3,15.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN021,Sulfur,industrial_goods,Minerals (Limit 50 Each),16,14.0,15.0,18,19.5,9.75,7.5,16.5,18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN022,Blue Clay,industrial_goods,Minerals (Limit 50 Each),32,4.0,10.0,12,13,6.5,5,11,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN023,Blasting powder,industrial_goods,Minerals (Limit 50 Each),16,10.0,10.0,12,13,6.5,5,11,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN024,Alum,industrial_goods,Minerals (Limit 50 Each),16,8.0,6.0,7.2,7.8,3.9,3,6.6,7.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
